id,lon,lat,time
444,141,-34.48,2017-01-21
445,141.2,-34.54,2017-01-21
446,141.39999,-34.6,2017-01-21
447,147.51332666666667,-37.18,2017-01-24
448,147.03692384615385,-37.34,2017-01-24
449,146.16571285714286,-37.325714285714284,2017-01-24
450,146.5925025,-37.485,2017-01-24
451,146.58428785714287,-37.68857142857143,2017-01-24
452,148.23999,-37.069995000000006,2017-01-24
453,147.58,-37.06,2017-01-24
454,147.76667333333333,-37.17333333333333,2017-01-24
455,147.532002,-36.996,2017-01-24
456,147.04667333333333,-36.486666666666665,2017-01-24
457,148.53,-37.03,2017-01-24
458,147.6533311111111,-36.23110888888889,2017-01-29
459,146.36909,-37.76726818181818,2017-01-30
460,147.94,-36.86,2017-01-30
461,147.88,-36.730000000000004,2017-01-30
462,147.87999833333333,-36.34,2017-01-30
463,144.328006,-36.024,2017-02-02
464,142.64,-35.88,2017-02-02
465,146.37,-37.8,2017-02-03
466,148.34571571428572,-37.011428571428574,2017-02-03
467,149.54222222222222,-37.382222222222225,2017-02-03
468,145.96428285714285,-37.84142857142857,2017-02-03
469,145.26001,-37.25999,2017-02-03
470,145.87555333333333,-37.71555333333333,2017-02-03
471,146.48,-37.8,2017-02-03
472,146.60000333333335,-37.64666666666667,2017-02-03
473,146.26667333333333,-37.77333,2017-02-03
474,146.51999,-37.84,2017-02-03
475,146.56,-37.9,2017-02-03
476,146.32001,-37.57999,2017-02-03
477,146.550005,-37.769995,2017-02-03
478,147.17999,-37.54,2017-02-03
479,146.050005,-37.949995,2017-02-03
480,144.447996,-37.571997,2017-02-03
481,144.52666333333335,-37.579996666666666,2017-02-03
482,145.29999,-37.96,2017-02-03
483,145.314001,-37.824,2017-02-03
484,145.54001,-37.9,2017-02-03
485,145.51713857142857,-37.70857,2017-02-03
486,145.46999499999998,-37.79,2017-02-03
487,145.59000500000002,-37.78,2017-02-03
488,145.49,-37.62,2017-02-03
489,145.48,-37.72,2017-02-03
490,145.39999,-37.78,2017-02-03
491,145.67749625,-37.99749875,2017-02-03
492,145.01999,-36.88,2017-02-03
493,144.89999,-36.92,2017-02-03
494,144.82001,-36.93999,2017-02-03
495,144.86,-36.949995,2017-02-03
496,144.87,-37.010000000000005,2017-02-03
497,145.16,-37.230000000000004,2017-02-03
498,145.2,-37.3,2017-02-03
499,145.08000333333334,-37.33,2017-02-03
500,144.949995,-37.38,2017-02-03
501,145.54001,-37.62,2017-02-03
502,144.42444,-36.82888888888889,2017-02-03
503,145.16,-37.32,2017-02-03
504,144.889995,-37.35,2017-02-03
505,145.80499500000002,-38.025,2017-02-03
506,145.26001,-37.31,2017-02-03
507,146.06666666666666,-38.03333333333333,2017-02-03
508,145.93428142857144,-38.071422857142856,2017-02-03
509,146.12,-38.34,2017-02-03
510,141.40999499999998,-37.97,2017-02-07
511,142.891994,-38.299998,2017-02-07
512,143.14999999999998,-38.53,2017-02-07
513,143.2,-38.52,2017-02-07
514,143.72,-38.55,2017-02-07
515,143.01249875,-38.47249875,2017-02-07
516,143.568,-38.566664,2017-02-07
517,143.46444,-38.62222111111111,2017-02-07
518,143.34,-38.72,2017-02-07
519,143.42999571428572,-38.72571285714286,2017-02-07
520,143.53999,-38.8,2017-02-07
521,143.14,-38.68,2017-02-07
522,141.36,-38.16,2017-02-07
523,143.049995,-38.39,2017-02-07
524,143.23999,-38.57999,2017-02-07
525,142.83667,-37.656666666666666,2017-02-07
526,143.25999,-38.5,2017-02-07
527,148.34000375,-36.99,2017-02-08
528,146.37428428571428,-36.971425714285715,2017-02-09
529,146.93999666666667,-36.65,2017-02-09
530,147.10001,-36.74,2017-02-09
531,145.683996,-37.324,2017-02-09
532,145.80666333333335,-37.333333333333336,2017-02-09
533,145.7849975,-37.405,2017-02-09
